name,mle,cilow,cihigh,areacutoff,nmutations,patient
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.4800000000000002,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.4800000000000002,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.4800000000000002,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.53,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.53,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.53,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.53,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.53,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.58,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.58,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.58,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.58,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.58,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.6300000000000001,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.6300000000000001,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.6300000000000001,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.6300000000000001,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.6300000000000001,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.6800000000000002,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.6800000000000002,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.6800000000000002,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.6800000000000002,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.6800000000000002,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.7300000000000002,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.7300000000000002,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.7300000000000002,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.7300000000000002,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.7300000000000002,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.78,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.78,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.78,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.78,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.78,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.83,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.83,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.83,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.83,0,PD13634
